"TIME_PERIOD","GEO","AGE","SEX","OBS_STATUS","OBS_VALUE"
"2024-W01","CH05","Y15T19","T","P","0"
"2024-W01","CH05","Y15T19","M","P","0"
"2024-W01","CH05","Y15T19","F","P","0"
"2024-W01","CH05","Y20T24","T","P","1"
"2024-W01","CH05","Y20T24","M","P","1"
"2024-W01","CH05","Y20T24","F","P","0"
"2024-W01","CH05","Y25T29","T","P","0"
"2024-W01","CH05","Y25T29","M","P","0"
"2024-W01","CH05","Y25T29","F","P","0"
"2024-W01","CH05","Y30T34","T","P","2"
"2024-W01","CH05","Y30T34","M","P","0"
"2024-W01","CH05","Y30T34","F","P","2"
"2024-W01","CH05","Y35T39","T","P","1"
"2024-W01","CH05","Y35T39","M","P","1"
"2024-W01","CH05","Y35T39","F","P","0"
"2024-W01","CH05","Y40T44","T","P","0"
"2024-W01","CH05","Y40T44","M","P","0"
"2024-W01","CH05","Y40T44","F","P","0"
"2024-W01","CH05","Y45T49","T","P","1"
"2024-W01","CH05","Y45T49","M","P","1"
"2024-W01","CH05","Y45T49","F","P","0"
"2024-W01","CH05","Y50T54","T","P","6"
"2024-W01","CH05","Y50T54","M","P","1"
"2024-W01","CH05","Y50T54","F","P","5"
"2024-W01","CH05","Y55T59","T","P","6"
"2024-W01","CH05","Y55T59","M","P","4"
"2024-W01","CH05","Y55T59","F","P","2"
"2024-W01","CH05","Y60T64","T","P","11"
"2024-W01","CH05","Y60T64","M","P","4"
"2024-W01","CH05","Y60T64","F","P","7"
"2024-W01","CH05","Y65T69","T","P","10"
"2024-W01","CH05","Y65T69","M","P","8"
"2024-W01","CH05","Y65T69","F","P","2"
"2024-W01","CH05","Y70T74","T","P","14"
"2024-W01","CH05","Y70T74","M","P","8"
"2024-W01","CH05","Y70T74","F","P","6"
"2024-W01","CH05","Y75T79","T","P","30"
"2024-W01","CH05","Y75T79","M","P","15"
"2024-W01","CH05","Y75T79","F","P","15"
"2024-W01","CH05","Y80T84","T","P","32"
"2024-W01","CH05","Y80T84","M","P","17"
"2024-W01","CH05","Y80T84","F","P","15"
"2024-W01","CH05","Y85T89","T","P","46"
"2024-W01","CH05","Y85T89","M","P","18"
"2024-W01","CH05","Y85T89","F","P","28"
"2024-W01","CH05","Y_GE90","T","P","67"
"2024-W01","CH05","Y_GE90","M","P","28"
"2024-W01","CH05","Y_GE90","F","P","39"
"2024-W01","CH06","_T","T","P","133"
"2024-W01","CH06","_T","M","P","70"
"2024-W01","CH06","_T","F","P","63"
"2024-W01","CH06","Y0T4","T","P","0"
"2024-W01","CH06","Y0T4","M","P","0"
"2024-W01","CH06","Y0T4","F","P","0"
"2024-W01","CH06","Y5T9","T","P","0"
"2024-W01","CH06","Y5T9","M","P","0"
"2024-W01","CH06","Y5T9","F","P","0"
"2024-W01","CH06","Y10T14","T","P","0"
"2024-W01","CH06","Y10T14","M","P","0"
"2024-W01","CH06","Y10T14","F","P","0"
"2024-W01","CH06","Y15T19","T","P","0"
"2024-W01","CH06","Y15T19","M","P","0"
"2024-W01","CH06","Y15T19","F","P","0"
"2024-W01","CH06","Y20T24","T","P","0"
"2024-W01","CH06","Y20T24","M","P","0"
"2024-W01","CH06","Y20T24","F","P","0"
"2024-W01","CH06","Y25T29","T","P","0"
"2024-W01","CH06","Y25T29","M","P","0"
"2024-W01","CH06","Y25T29","F","P","0"
"2024-W01","CH06","Y30T34","T","P","0"
"2024-W01","CH06","Y30T34","M","P","0"
"2024-W01","CH06","Y30T34","F","P","0"
"2024-W01","CH06","Y35T39","T","P","1"
"2024-W01","CH06","Y35T39","M","P","1"
"2024-W01","CH06","Y35T39","F","P","0"
"2024-W01","CH06","Y40T44","T","P","1"
"2024-W01","CH06","Y40T44","M","P","1"
"2024-W01","CH06","Y40T44","F","P","0"
"2024-W01","CH06","Y45T49","T","P","1"
"2024-W01","CH06","Y45T49","M","P","1"
"2024-W01","CH06","Y45T49","F","P","0"
"2024-W01","CH06","Y50T54","T","P","3"
"2024-W01","CH06","Y50T54","M","P","2"
"2024-W01","CH06","Y50T54","F","P","1"
"2024-W01","CH06","Y55T59","T","P","3"
"2024-W01","CH06","Y55T59","M","P","2"
"2024-W01","CH06","Y55T59","F","P","1"
"2024-W01","CH06","Y60T64","T","P","1"
"2024-W01","CH06","Y60T64","M","P","0"
"2024-W01","CH06","Y60T64","F","P","1"
"2024-W01","CH06","Y65T69","T","P","10"
"2024-W01","CH06","Y65T69","M","P","6"
"2024-W01","CH06","Y65T69","F","P","4"
"2024-W01","CH06","Y70T74","T","P","6"
"2024-W01","CH06","Y70T74","M","P","6"
"2024-W01","CH06","Y70T74","F","P","0"
"2024-W01","CH06","Y75T79","T","P","16"
"2024-W01","CH06","Y75T79","M","P","12"
"2024-W01","CH06","Y75T79","F","P","4"
"2024-W01","CH06","Y80T84","T","P","24"
"2024-W01","CH06","Y80T84","M","P","14"
"2024-W01","CH06","Y80T84","F","P","10"
"2024-W01","CH06","Y85T89","T","P","29"
"2024-W01","CH06","Y85T89","M","P","16"
"2024-W01","CH06","Y85T89","F","P","13"
"2024-W01","CH06","Y_GE90","T","P","38"
"2024-W01","CH06","Y_GE90","M","P","9"
"2024-W01","CH06","Y_GE90","F","P","29"
"2024-W01","CH07","_T","T","P","78"
"2024-W01","CH07","_T","M","P","36"
"2024-W01","CH07","_T","F","P","42"
"2024-W01","CH07","Y0T4","T","P","0"
"2024-W01","CH07","Y0T4","M","P","0"
"2024-W01","CH07","Y0T4","F","P","0"
"2024-W01","CH07","Y5T9","T","P","0"
"2024-W01","CH07","Y5T9","M","P","0"
"2024-W01","CH07","Y5T9","F","P","0"
"2024-W01","CH07","Y10T14","T","P","0"
"2024-W01","CH07","Y10T14","M","P","0"
"2024-W01","CH07","Y10T14","F","P","0"
"2024-W01","CH07","Y15T19","T","P","0"
"2024-W01","CH07","Y15T19","M","P","0"
"2024-W01","CH07","Y15T19","F","P","0"
"2024-W01","CH07","Y20T24","T","P","0"
"2024-W01","CH07","Y20T24","M","P","0"
"2024-W01","CH07","Y20T24","F","P","0"
"2024-W01","CH07","Y25T29","T","P","0"
"2024-W01","CH07","Y25T29","M","P","0"
"2024-W01","CH07","Y25T29","F","P","0"
"2024-W01","CH07","Y30T34","T","P","0"
"2024-W01","CH07","Y30T34","M","P","0"
"2024-W01","CH07","Y30T34","F","P","0"
"2024-W01","CH07","Y35T39","T","P","0"
"2024-W01","CH07","Y35T39","M","P","0"
"2024-W01","CH07","Y35T39","F","P","0"
"2024-W01","CH07","Y40T44","T","P","0"
"2024-W01","CH07","Y40T44","M","P","0"
"2024-W01","CH07","Y40T44","F","P","0"
"2024-W01","CH07","Y45T49","T","P","1"
"2024-W01","CH07","Y45T49","M","P","0"
"2024-W01","CH07","Y45T49","F","P","1"
"2024-W01","CH07","Y50T54","T","P","1"
"2024-W01","CH07","Y50T54","M","P","0"
"2024-W01","CH07","Y50T54","F","P","1"
"2024-W01","CH07","Y55T59","T","P","1"
"2024-W01","CH07","Y55T59","M","P","1"
"2024-W01","CH07","Y55T59","F","P","0"
"2024-W01","CH07","Y60T64","T","P","2"
"2024-W01","CH07","Y60T64","M","P","0"
"2024-W01","CH07","Y60T64","F","P","2"
"2024-W01","CH07","Y65T69","T","P","6"
"2024-W01","CH07","Y65T69","M","P","4"
"2024-W01","CH07","Y65T69","F","P","2"
"2024-W01","CH07","Y70T74","T","P","5"
"2024-W01","CH07","Y70T74","M","P","2"
"2024-W01","CH07","Y70T74","F","P","3"
"2024-W01","CH07","Y75T79","T","P","7"
"2024-W01","CH07","Y75T79","M","P","4"
"2024-W01","CH07","Y75T79","F","P","3"
"2024-W01","CH07","Y80T84","T","P","14"
"2024-W01","CH07","Y80T84","M","P","10"
"2024-W01","CH07","Y80T84","F","P","4"
"2024-W01","CH07","Y85T89","T","P","18"
"2024-W01","CH07","Y85T89","M","P","6"
"2024-W01","CH07","Y85T89","F","P","12"
"2024-W01","CH07","Y_GE90","T","P","23"
"2024-W01","CH07","Y_GE90","M","P","9"
"2024-W01","CH07","Y_GE90","F","P","14"
"2024-W02","CH","_T","T","P","1550"
"2024-W02","CH","_T","M","P","756"
"2024-W02","CH","_T","F","P","794"
"2024-W02","CH","Y0T4","T","P","7"
"2024-W02","CH","Y0T4","M","P","4"
"2024-W02","CH","Y0T4","F","P","3"
"2024-W02","CH","Y5T9","T","P","0"
"2024-W02","CH","Y5T9","M","P","0"
"2024-W02","CH","Y5T9","F","P","0"
"2024-W02","CH","Y10T14","T","P","1"
"2024-W02","CH","Y10T14","M","P","0"
"2024-W02","CH","Y10T14","F","P","1"
"2024-W02","CH","Y15T19","T","P","1"
"2024-W02","CH","Y15T19","M","P","1"
"2024-W02","CH","Y15T19","F","P","0"
"2024-W02","CH","Y20T24","T","P","1"
"2024-W02","CH","Y20T24","M","P","1"
"2024-W02","CH","Y20T24","F","P","0"
"2024-W02","CH","Y25T29","T","P","4"
"2024-W02","CH","Y25T29","M","P","2"
"2024-W02","CH","Y25T29","F","P","2"
"2024-W02","CH","Y30T34","T","P","7"
"2024-W02","CH","Y30T34","M","P","4"
"2024-W02","CH","Y30T34","F","P","3"
"2024-W02","CH","Y35T39","T","P","12"
"2024-W02","CH","Y35T39","M","P","10"
"2024-W02","CH","Y35T39","F","P","2"
"2024-W02","CH","Y40T44","T","P","9"
"2024-W02","CH","Y40T44","M","P","7"
"2024-W02","CH","Y40T44","F","P","2"
"2024-W02","CH","Y45T49","T","P","15"
"2024-W02","CH","Y45T49","M","P","10"
"2024-W02","CH","Y45T49","F","P","5"
"2024-W02","CH","Y50T54","T","P","24"
"2024-W02","CH","Y50T54","M","P","18"
"2024-W02","CH","Y50T54","F","P","6"
"2024-W02","CH","Y55T59","T","P","27"
"2024-W02","CH","Y55T59","M","P","16"
"2024-W02","CH","Y55T59","F","P","11"
"2024-W02","CH","Y60T64","T","P","52"
"2024-W02","CH","Y60T64","M","P","26"
"2024-W02","CH","Y60T64","F","P","26"
